CODIGO,DESCRIPCION,CANTIDAD,UBICACION,CATALOGO,PROVEEDOR,TIPO,ENTREGADO A:,REGRESO FECHA:,WEB SITE,IMAGEN,ID
19635 880,19635 880 BLANC DE LIN RE ,3,C01N08P02,BLANC DE LIN RE ,ETAMINE,TELA,,,https://www.zimmer-rohde.com/en/product-finder/details/blanc-de-lin-re-19635-880,https://www.zimmer-rohde.com/fileadmin/_processed_/3/c/csm_19635880_34836da7e6.jpg,MUESTRA-138
19636 880,19636 880 ENTRE-DEUX RE,3,C01N08P02,ENTRE-DEUX RE,ETAMINE,TELA,,,https://www.zimmer-rohde.com/en/product-finder/details/entre-deux-re-19636-880,https://www.zimmer-rohde.com/fileadmin/_processed_/1/b/csm_19636880_f6b938a2a7.jpg,MUESTRA-139
19637 110,19637 110 ARTISANE ,3,C01N08P02,ARTISANE ,ETAMINE,TELA,,,https://www.zimmer-rohde.com/en/product-finder/details/artisane-19637-110,https://www.zimmer-rohde.com/fileadmin/_processed_/1/2/csm_19637110_69ec41ce00.jpg,MUESTRA-140
19639 880,19639 880 PONANT,3,C01N08P02,PONANT,ETAMINE,TELA,,,https://www.zimmer-rohde.com/en/product-finder/details/ponant-19639-880,https://www.zimmer-rohde.com/fileadmin/_processed_/2/0/csm_19639880_68d0afe297.jpg,MUESTRA-141
19638 335,19638 335 ROUSSETTE,3,C01N08P02,ROUSSETTE,ETAMINE,TELA,,,https://www.zimmer-rohde.com/en/product-finder/details/roussette-19638-335,https://www.zimmer-rohde.com/fileadmin/_processed_/c/4/csm_19638335_7d56624cd6.jpg,MUESTRA-142
9640 835,9640 835 AUTRE PART,3,C01N08P03,AUTRE PART,ETAMINE,TELA,,,https://www.zimmer-rohde.com/en/product-finder/details/autre-part-19640-835,https://www.zimmer-rohde.com/fileadmin/_processed_/a/b/csm_19640835_161e4998b4.jpg,MUESTRA-143
19641 155,19641 155 SOLAIRE,3,C01N08P03,SOLAIRE,ETAMINE,TELA,,,https://www.zimmer-rohde.com/en/product-finder/details/solaire-19641-155,https://www.zimmer-rohde.com/fileadmin/_processed_/5/b/csm_19641155_24db8b9892.jpg,MUESTRA-144
19642 155,19642 155 EVASION RE,3,C01N08P03,EVASION RE,ETAMINE,TELA,,,https://www.zimmer-rohde.com/en/product-finder/details/evasion-re-19642-155,https://www.zimmer-rohde.com/fileadmin/_processed_/a/a/csm_19642155_5afa2ae9dc.jpg,MUESTRA-145
, ,1,C02N01P01,,,TELA,,,,,MUESTRA-146
, ,1,C02N01P02,,,TELA,,,,,MUESTRA-147
, ,1,C02N01P03,,,TELA,,,,,MUESTRA-148
, ,1,C02N01P04,,,TELA,,,,,MUESTRA-149
, ,1,C02N01P05,,,TELA,,,,,MUESTRA-150
, ,1,C02N01P06,,,TELA,,,,,MUESTRA-151
, ,1,C02N02P01,,,TELA,,,,,MUESTRA-152
, ,1,C02N02P02,,,TELA,,,,,MUESTRA-153
, ,1,C02N02P03,,,TELA,,,,,MUESTRA-154
, ,1,C02N02P04,,,TELA,,,,,MUESTRA-155
, ,1,C02N02P05,,,TELA,,,,,MUESTRA-156
, ,1,C02N02P06,,,TELA,,,,,MUESTRA-157
, ,1,C02N03P01,,,TELA,,,,,MUESTRA-158
, ,1,C02N03P02,,,TELA,,,,,MUESTRA-159
, ,1,C02N03P03,,,TELA,,,,,MUESTRA-160
, ,1,C02N03P04,,,TELA,,,,,MUESTRA-161
, ,1,C02N03P05,,,TELA,,,,,MUESTRA-162
, ,1,C02N03P06,,,TELA,,,,,MUESTRA-163
, ,1,C02N04P01,,,TELA,,,,,MUESTRA-164
, ,1,C02N04P02,,,TELA,,,,,MUESTRA-165
, ,1,C02N04P03,,,TELA,,,,,MUESTRA-166
, ,1,C02N04P04,,,TELA,,,,,MUESTRA-167
, ,1,C02N04P05,,,TELA,,,,,MUESTRA-168
, ,1,C02N04P06,,,TELA,,,,,MUESTRA-169
, ,1,C02N05P01,,,TELA,,,,,MUESTRA-170
, ,1,C02N05P02,,,TELA,,,,,MUESTRA-171
, ,1,C02N05P03,,,TELA,,,,,MUESTRA-172
, ,1,C02N05P04,,,TELA,,,,,MUESTRA-173
, ,1,C02N05P05,,,TELA,,,,,MUESTRA-174
, ,1,C02N05P06,,,TELA,,,,,MUESTRA-175
, ,1,C02N06P01,,,TELA,,,,,MUESTRA-176
, ,1,C02N06P02,,,TELA,,,,,MUESTRA-177
, ,1,C02N06P03,,,TELA,,,,,MUESTRA-178
, ,1,C02N06P04,,,TELA,,,,,MUESTRA-179
, ,1,C02N06P05,,,TELA,,,,,MUESTRA-180
, ,1,C02N06P06,,,TELA,,,,,MUESTRA-181
, ,1,C02N07P01,,,TELA,,,,,MUESTRA-182
, ,1,C02N07P02,,,TELA,,,,,MUESTRA-183
, ,1,C02N07P03,,,TELA,,,,,MUESTRA-184
, ,1,C02N07P04,,,TELA,,,,,MUESTRA-185
, ,1,C02N07P05,,,TELA,,,,,MUESTRA-186
, ,1,C02N07P06,,,TELA,,,,,MUESTRA-187
, ,1,C02N08P01,,,TELA,,,,,MUESTRA-188
, ,1,C02N08P02,,,TELA,,,,,MUESTRA-189
, ,1,C02N08P03,,,TELA,,,,,MUESTRA-190
, ,1,C02N08P04,,,TELA,,,,,MUESTRA-191
, ,1,C02N08P05,,,TELA,,,,,MUESTRA-192
, ,1,C02N08P06,,,TELA,,,,,MUESTRA-193
, ,1,C03N01P01,,,TELA,,,,,MUESTRA-194
, ,1,C03N01P02,,,TELA,,,,,MUESTRA-195
, ,1,C03N01P03,,,TELA,,,,,MUESTRA-196
, ,1,C03N01P04,,,TELA,,,,,MUESTRA-197
, ,1,C03N01P05,,,TELA,,,,,MUESTRA-198
, ,1,C03N01P06,,,TELA,,,,,MUESTRA-199
, ,1,C03N02P01,,,TELA,,,,,MUESTRA-200
, ,1,C03N02P02,,,TELA,,,,,MUESTRA-201
, ,1,C03N02P03,,,TELA,,,,,MUESTRA-202
, ,1,C03N02P04,,,TELA,,,,,MUESTRA-203
, ,1,C03N02P05,,,TELA,,,,,MUESTRA-204
, ,1,C03N02P06,,,TELA,,,,,MUESTRA-205
, ,1,C03N03P01,,,TELA,,,,,MUESTRA-206
, ,1,C03N03P02,,,TELA,,,,,MUESTRA-207
, ,1,C03N03P03,,,TELA,,,,,MUESTRA-208
, ,1,C03N03P04,,,TELA,,,,,MUESTRA-209
, ,1,C03N03P05,,,TELA,,,,,MUESTRA-210
, ,1,C03N03P06,,,TELA,,,,,
, ,1,C03N04P01,,,TELA,,,,,
, ,1,C03N04P02,,,TELA,,,,,
, ,1,C03N04P03,,,TELA,,,,,
, ,1,C03N04P04,,,TELA,,,,,
, ,1,C03N04P05,,,TELA,,,,,
, ,1,C03N04P06,,,TELA,,,,,
, ,1,C03N05P01,,,TELA,,,,,
, ,1,C03N05P02,,,TELA,,,,,
, ,1,C03N05P03,,,TELA,,,,,
, ,1,C03N05P04,,,TELA,,,,,
, ,1,C03N05P05,,,TELA,,,,,
, ,1,C03N05P06,,,TELA,,,,,
, ,1,C03N06P01,,,TELA,,,,,
, ,1,C03N06P02,,,TELA,,,,,
, ,1,C03N06P03,,,TELA,,,,,
, ,1,C03N06P04,,,TELA,,,,,
, ,1,C03N06P05,,,TELA,,,,,
, ,1,C03N06P06,,,TELA,,,,,
, ,1,C03N07P01,,,TELA,,,,,
, ,1,C03N07P02,,,TELA,,,,,
, ,1,C03N07P03,,,TELA,,,,,
