Número de artículo,Descripción del artículo,En stock,Comprometido,Solicitado,Disponible,Unidad de medida,PRECIOVENTA,IMAGEN,STOCK EN BODEGA,UBICACION,DISPONIBILIDAD
VG019589,NAZCA 880,1,,,1,,$0.01,STOCK SAP_Images/VG019589.jpg,,,
VG019588,NAGPUR 881,1,,,1,,$0.01,STOCK SAP_Images/VG019588.jpg,,,
VG019582,LINETTE 881,1,,,1,,$0.01,STOCK SAP_Images/VG019582.jpg,,,
VG019581,AGUAYO 334,1,,,1,,$0.01,STOCK SAP_Images/VG019581.jpg,,,
VG019580,CHAPAN 325,1,,,1,,$0.01,STOCK SAP_Images/VG019580.jpg,,,
VG019579,KANTHA 325,1,,,1,,$0.01,STOCK SAP_Images/VG019579.jpg,,,
VG019578,SOLOLA 527,1,,,1,,$0.01,STOCK SAP_Images/VG019578.jpg,,,
VG019577,KASHAN 128,1,,,1,,$0.01,STOCK SAP_Images/VG019577.jpg,,,
VG019576,PAMPELONNE 880,1,,,1,,$0.01,STOCK SAP_Images/VG019576.jpg,,,
VG019575,OAKLEY 983,1,,,1,,$0.01,STOCK SAP_Images/VG019575.jpg,,,
VG019574,PANTHERA 285,1,,,1,,$0.01,STOCK SAP_Images/VG019574.jpg,,,
VG019573,EMPRESS GLAZED LINEN 887,1,,,1,,$0.01,STOCK SAP_Images/VG019573.jpg,,,
VG019572,ONCILLA 895,1,,,1,,$0.01,STOCK SAP_Images/VG019572.jpg,,,
VG019571,PARADE STRIPE 893,1,,,1,,$0.01,STOCK SAP_Images/VG019571.jpg,,,
VG019570,FOLKLORE 895,1,,,1,,$0.01,STOCK SAP_Images/VG019570.jpg,,,
VG019569,CHARLOTTE 884,1,,,1,,$0.01,STOCK SAP_Images/VG019569.jpg,,,
VG019568,FIESTA 987,1,,,1,,$0.01,STOCK SAP_Images/VG019568.jpg,,,
VG019567,CARNIVAL STRIPE 896,1,,,1,,$0.01,STOCK SAP_Images/VG019567.jpg,,,
VG019566,COLLONADE 983,1,,,1,,$0.01,STOCK SAP_Images/VG019566.jpg,,,
VG019565,ANNA 896,1,,,1,,$0.01,STOCK SAP_Images/VG019565.jpg,,,
VG019552,WIBWARENBUGEL F24,1,,,1,,$0.01,STOCK SAP_Images/VG019552.jpg,,,
VG019551,VOILE FR 200,1,,,1,,$0.01,STOCK SAP_Images/VG019551.jpg,,,
VG019550,SIGNATURE 793,1,,,1,,$0.01,STOCK SAP_Images/VG019550.jpg,,,
VG019549,TALISMAN 191,1,,,1,,$0.01,STOCK SAP_Images/VG019549.jpg,,,
VG019548,CAPRI PLUS 445,1,,,1,,$0.01,STOCK SAP_Images/VG019548.jpg,,,
VG019547,GRACE FR 795,1,,,1,,$0.01,STOCK SAP_Images/VG019547.jpg,,,
VG019546,GOOD MOOD FR 131,1,,,1,,$0.01,STOCK SAP_Images/VG019546.jpg,,,
VG019545,ALL TIME STRIPE KOMBIBUGEL 613,1,,,1,,$0.01,STOCK SAP_Images/VG019545.jpg,,,
VG019544,EASY LINEN 131,1,,,1,,$0.01,STOCK SAP_Images/VG019544.jpg,,,
VG019481,SHADE 131,1,,,1,,$0.01,STOCK SAP_Images/VG019481.jpg,,,
VG019480,LOVELY 153,1,,,1,,$0.01,STOCK SAP_Images/VG019480.jpg,,,
VG019479,LIBRA 131,1,,,1,,$0.01,STOCK SAP_Images/VG019479.jpg,,,
VG019477,SCALA 776,1,,,1,,$0.01,STOCK SAP_Images/VG019477.jpg,,,
VG018071,SATURATION SATIN 555,1,,,1,,$0.01,STOCK SAP_Images/VG018071.jpg,,,
VG018070,BANDALO 883,1,,,1,,$0.01,STOCK SAP_Images/VG018070.jpg,,,
VG018069,LOOPS 882,1,,,1,,$0.01,STOCK SAP_Images/VG018069.jpg,,,
VG018062,TAGRAMO 245,1,,,1,,$0.01,STOCK SAP_Images/VG018062.jpg,,,
VG018061,TANGARA 245,1,,,1,,$0.01,STOCK SAP_Images/VG018061.jpg,,,
VG018060,TRIANGLES 895,1,,,1,,$0.01,STOCK SAP_Images/VG018060.jpg,,,
VG018058,DARK MOON FR 885,1,,,1,,$0.01,STOCK SAP_Images/VG018058.jpg,,,
VG015943,GENTLE WOOL 811,1,,,1,,$0.01,STOCK SAP_Images/VG015943.jpg,,,
VENTANA-1,MANUFACTURA DE CROTINA / MAS GALERIA TIPO RIPPLEFOLD,,,,,,$490.00,STOCK SAP_Images/VENTANA-1.jpg,,,
VENTANA-03,MANUFACTURA DE CORTINA/ MAS GALERIA RIPPLEFOLD/ NO INCLUYE,,,,,,$375.00,STOCK SAP_Images/VENTANA-03.jpg,,,
VENTANA-02,MANUFACTURA DE CORTINA/ MAS GALERIA RIPPLEFOLD/ NO INCLUYE TELA,,,,,,$375.00,STOCK SAP_Images/VENTANA-02.jpg,,,
VELVETMIXCUSHION,VELVET MIX,6,,,6,,$60.00,STOCK SAP_Images/VELVETMIXCUSHION.jpg,,,
VB2241,MADENA / AP,,,,,,$145.00,STOCK SAP_Images/VB2241.jpg,,,
VB2240,ROANA / AP,,,,,,$145.00,STOCK SAP_Images/VB2240.jpg,,,
VB2236/664,SUEDE,,,,,,$0.00,STOCK SAP_Images/VB2236/664.jpg,,,
VB2236,VB2236,,,,,,$158.00,STOCK SAP_Images/VB2236.jpg,,,
VB2235/418,SUEDE,,,,,,$0.00,STOCK SAP_Images/VB2235/418.jpg,,,
VB2235,VB2235,,,,,,$158.00,STOCK SAP_Images/VB2235.jpg,,,
VB2234.205,ALANZA/ AP COL 205 SILVERA,,,,,,$145.00,STOCK SAP_Images/VB2234.205.jpg,,,
VB2234.130,ALANZA/ AP COL 130 SILVERA,,,,,,$145.00,STOCK SAP_Images/VB2234.130.jpg,,,
VB2210,COLORATA SPICE,,,,,,$150.00,STOCK SAP_Images/VB2210.jpg,,,
VB2208/305,COLORATA SPICE/VB2208305,1,,,1,,$155.00,STOCK SAP_Images/VB2208/305.jpg,,,
VASE-ROMBOS,VASE DE RONBOS CILINDRICO EN COLOR BLANCO/LOCAL,,,,,,$60.00,STOCK SAP_Images/VASE-ROMBOS.jpg,,,
"VAL20,MERIDIENNE VALLON 11037.15 VELOURS OBLICO,1,,,1,,""$6,900.00"",STOCK SAP_Images/VAL20.jpg,,,"
V780,TAUPE,,,,,,$100.00,STOCK SAP_Images/V780.jpg,,,
V698,DOVE CHARLOTTE FABRICS,,,,,,$100.00,STOCK SAP_Images/V698.jpg,,,
V696,BUTTERSCOTH,,,,,,$100.00,STOCK SAP_Images/V696.jpg,,,
V691,PEARL CHARLOTTE FABRICS,,,,,,$100.00,STOCK SAP_Images/V691.jpg,,,
V688,SMOKE,,,,,,$100.00,STOCK SAP_Images/V688.jpg,,,
V681,IRON CHARLOTTE FABRICS,,,,,,$100.00,STOCK SAP_Images/V681.jpg,,,
V680,MOSS CHARLOTTE FABRICS,,,,,,$100.00,STOCK SAP_Images/V680.jpg,,,
